index,x1,y1
49,0.878,0.788
50,0.845,1.042
69,0.844,3.305
70,0.872,3.085
71,0.888,2.88
72,0.902,2.657
73,0.768,2.459
74,0.769,2.198
76,0.87,1.324
77,0.883,1.578
78,0.923,1.827
79,0.94,2.073
80,0.981,2.348
81,1.063,1.073
82,1.102,0.858
87,1.082,1.289
88,1.096,1.515
89,1.118,1.736
90,1.138,1.975
91,1.173,2.211
92,1.081,2.602
93,1.125,2.838
94,1.071,3.055
95,1.05,3.313
98,1.243,3.174
103,1.442,3.23
104,1.326,2.994
105,1.325,2.758
106,1.395,2.593
107,1.22,2.443
113,1.577,3.065
114,1.523,2.869
115,1.394,2.338
116,1.343,2.082
117,1.358,1.872
118,1.318,1.663
119,1.277,1.439
120,1.336,1.245
121,1.309,1.028
122,1.334,0.769
127,1.5,0.925
128,1.545,1.163
129,1.503,1.459
130,1.562,1.99
131,1.561,2.23
132,1.58,2.483
133,1.664,2.697
134,1.736,2.913
135,1.812,3.139
138,2.146,3.261
139,1.968,2.987
140,1.902,2.714
141,1.792,2.446
142,1.755,2.177
143,1.777,1.934
144,1.773,1.638
145,1.685,1.369
149,1.723,0.96
150,1.825,1.181
151,1.912,1.421
152,2.07,1.613
153,1.951,1.782
154,2.054,1.973
155,1.95,2.169
156,2.015,2.461
157,2.263,2.113
158,2.321,1.545
159,2.17,1.03
160,2.555,0.824
161,2.679,1.286
162,2.761,1.813
163,2.449,2.764
164,2.748,3.261
165,2.752,2.302
166,3.034,2.334
167,3.071,2.676
168,3.381,2.77
169,3.134,1.064
171,3.183,1.543
172,3.279,1.813
173,3.589,2.198
174,3.616,3.221
178,3.865,2.903
179,3.955,2.454
180,4.203,2.459
181,4.453,2.482
182,4.068,2.172
183,3.613,0.983
185,4.067,1.193
186,4.506,0.803
187,4.336,1.271
189,3.713,1.517
190,4.226,1.703
191,4.67,1.614
193,3.771,1.748
194,4.033,1.893
195,4.527,2.038
198,4.53,2.777
200,4.617,3.286
206,2.001,0.821
207,1.913,1.009
208,2.042,1.216
209,2.133,1.402
210,2.255,1.807
211,2.174,2.301
212,2.226,2.567
213,2.147,2.769
214,2.227,3.009
215,2.416,3.26
220,2.466,3.036
221,2.39,2.395
222,2.49,2.21
226,2.322,0.919
227,2.286,1.25
228,2.434,1.136
229,2.478,1.423
230,2.512,1.746
231,2.463,1.969
232,2.655,2.015
233,2.565,2.522
234,2.664,2.75
235,2.694,2.981
244,2.955,3.078
245,3.186,3.19
246,3.387,3.301
247,3.158,2.925
248,3.377,3.054
249,2.899,2.826
250,2.843,2.575
251,3.2,2.505
252,2.888,2.045
253,2.675,1.534
254,2.638,1.059
264,2.841,0.926
266,3.033,0.814
267,2.927,1.148
268,2.88,1.345
269,2.922,1.603
270,3.03,1.835
271,3.142,2.083
272,3.332,2.291
273,3.464,2.531
274,3.64,2.726
275,3.597,2.956
276,3.847,3.141
286,4.312,3.142
287,4.089,3.041
288,4.104,2.764
289,3.873,2.657
290,3.683,2.444
291,3.381,2.048
292,3.111,1.313
297,3.474,0.763
298,3.281,0.883
299,3.399,1.114
300,3.349,1.35
301,3.453,1.618
302,3.557,1.871
303,3.838,2.229
304,3.787,2.0
305,4.303,2.696
306,4.332,2.928
307,4.556,3.057
327,4.598,2.292
328,4.331,2.224
329,4.292,1.956
330,4.492,1.771
331,3.965,1.623
332,3.876,1.361
333,3.635,1.277
334,3.813,1.114
335,3.855,0.916
345,4.085,0.931
346,4.286,0.863
347,4.24,1.063
348,4.472,1.084
349,4.134,1.457
350,4.407,1.52
351,4.581,1.373
368,4.657,0.965
